minang,clean_text,label
"desi anwar lahia dari pasangan khaidir anwar dan wahidar, yang barasa dari minangkabau",desi anwar lahia dari pasangan khaidir anwar dan wahidar yang barasa dari minangkabau,neutral
"padang timur adolah sabuah kecamatan di kota padang, sumatera barat, indonesia",padang timur adolah sabuah kecamatan di kota padang sumatera barat indonesia,neutral
"sajak tahun 2008, inyo manjabat pelaksana tugas menteri koordinator bidang perekonomian, satalah men",sajak tahun inyo manjabat pelaksana tugas menteri koordinator bidang perekonomian satalah men,neutral
sunario tangah bapidato pado sesi tarakhir kongres (sabagai utusan kapanduan) sambia babisiak kapado,sunario tangah bapidato pado sesi tarakhir kongres sabagai utusan kapanduan sambia babisiak kapado,neutral
urang batak simalungun marupokan panduduak asali dari kabupaten ko,urang batak simalungun marupokan panduduak asali dari kabupaten ko,negative
"salain giat dalam dunia politik, boestamam mahasilan pulo sakurang-karangnyo 15 buah novel",salain giat dalam dunia politik boestamam mahasilan pulo sakurang karangnyo buah novel,positive
"daerah pamiliahan sumatera barat mangiriman duo wakia ka dpr dari pks, dirinyo jo refrizal",daerah pamiliahan sumatera barat mangiriman duo wakia ka dpr dari pks dirinyo jo refrizal,neutral
jiko diliek dari carito rakyaik nan ado di sumatra barat tadapek duo presepsi carito rakyaik mangana,jiko diliek dari carito rakyaik nan ado di sumatra barat tadapek duo presepsi carito rakyaik mangana,neutral
"oleh karano itu, panduduak indonesia katurunan tionghoa, india, arab (sadonyo dimasuakan dalam satu ",oleh karano itu panduduak indonesia katurunan tionghoa india arab sadonyo dimasuakan dalam satu ,neutral
bhutan adolah sabuah nagara ketek di asia selatan nan babantuak karajaan dan dikenal sabagai nagari ,bhutan adolah sabuah nagara ketek di asia selatan nan babantuak karajaan dan dikenal sabagai nagari ,neutral
"baliau juo barasia manjabarkan teori binomial, mangambangan ""metode newton"" untuak malakukan pandake",baliau juo barasia manjabarkan teori binomial mangambangan metode newton untuak malakukan pandake,neutral
batang nyo baraia dan indak bakayu,batang nyo baraia dan indak bakayu,negative
yahya muhaimin  adolah menteri pendidikan nasional pado kabinet persatuan nasional,yahya muhaimin adolah menteri pendidikan nasional pado kabinet persatuan nasional,neutral
"pado awal tahun 2016, namo sakolah iko mandadak tercemar, satalah kapalo sikolah sma negeri 9 padang",pado awal tahun namo sakolah iko mandadak tercemar satalah kapalo sikolah sma negeri padang,neutral
spesies ko juo marupokan bagian dari genus micrargus dan ordo araneae,spesies ko juo marupokan bagian dari genus micrargus dan ordo araneae,neutral
"walau co itu, duo kalurahan ko indak hanyo pulau doom sajo, tapi juo pulau ketek di sakitarnyo",walau co itu duo kalurahan ko indak hanyo pulau doom sajo tapi juo pulau ketek di sakitarnyo,negative
"kagigiahan utami mangampanyean asi eksklusif sarato maajaan ""inisiasi menyusui dini"" indak talapeh d",kagigiahan utami mangampanyean asi eksklusif sarato maajaan inisiasi menyusui dini indak talapeh,neutral
2001 qf331 adolah sabuah objek transneptunus, qf331 adolah sabuah objek transneptunus,neutral
"dangan bantuak, corak, dan raso nan unik, cokelat acok digunokan sabagai ungkapan tarimo kasih, simp",dangan bantuak corak dan raso nan unik cokelat acok digunokan sabagai ungkapan tarimo kasih simp,positive
"bulan ramadan balansuang salamo 2930 ari manuruik pamantauan hilal (bulan sabik), sapantun jo atura",bulan ramadan balansuang salamo ari manuruik pamantauan hilal bulan sabik sapantun jo atura,neutral
"soewardi mudo juo manjadi anggota organisasi ""insulinde"", suatu organisasi multietnik nan didominasi",soewardi mudo juo manjadi anggota organisasi insulinde suatu organisasi multietnik nan didominasi,neutral
yunizar basamo 20 parupo indonesia lainnyo masuak dalam daftar 500 palukih talaris di dunia badasark,yunizar basamo parupo indonesia lainnyo masuak dalam daftar palukih talaris di dunia badasark,neutral
pulau sentosa dibagi manjadi ampek wilayah nan masiang-masiang manggambar\kan zona hiburan nan babed,pulau sentosa dibagi manjadi ampek wilayah nan masiang masiang manggambar kan zona hiburan nan babed,positive
"tenayan raya adolah sabauh kecamatan di kota pekanbaru, riau, indonesia",tenayan raya adolah sabauh kecamatan di kota pekanbaru riau indonesia,neutral
paling indak pado pariode 1985-1995 muncua saratuih namo siswa smp dan sma di sumbar yang aktif berk,paling indak pado pariode muncua saratuih namo siswa smp dan sma di sumbar yang aktif berk,neutral
"pado 30 september 2009, kota ko dihoyak gampo bumi baliak bakakuatan 7,6 skala richter, jo titiak pu",pado september kota ko dihoyak gampo bumi baliak bakakuatan skala richter jo titiak pu,negative
"lubuk kilangan padang, sumatra barat",lubuk kilangan padang sumatra barat,neutral
babarapo amfibi malatakkan telua-teluanyo di lua aia (daun palem),babarapo amfibi malatakkan telua teluanyo di lua aia daun palem ,neutral
"di jakarta, golongan muda, wikana, dan golongan tua, iyolah mr",di jakarta golongan muda wikana dan golongan tua iyolah mr,neutral
"untuak bumbu dagiang martabak talua umumnyo labiah sadarano, yakni bawang bombay, bawang putiah, jo ",untuak bumbu dagiang martabak talua umumnyo labiah sadarano yakni bawang bombay bawang putiah jo ,positive
"suhu udaro tatinggi adolah 32,5 darajaik celsius, sadangkan terandah adolah 21,0 darajaik celsius",suhu udaro tatinggi adolah darajaik celsius sadangkan terandah adolah darajaik celsius,neutral
"di nagari iko juo masih basobok ""surau"", nan masih manjadi tampek tingga basamo untuak laki-laki nan",di nagari iko juo masih basobok surau nan masih manjadi tampek tingga basamo untuak laki laki nan,negative
lawah iko biasonyo banyak ditamui di new guinea,lawah iko biasonyo banyak ditamui di new guinea,negative
"di amerika serikat, banyak pambangkik tanago listrik tanago batu baro manggunoan ""flue gas desulfuri",di amerika serikat banyak pambangkik tanago listrik tanago batu baro manggunoan flue gas desulfuri,neutral
"dek sabab itu, tahun 1855 pamarintah balando marancanakan untuak mandirikan sikolah raja (bahaso bal",dek sabab itu tahun pamarintah balando marancanakan untuak mandirikan sikolah raja bahaso bal,negative
"catatan hariannyo di maso revolusi tu, ""revolusi mahasiswa"" kudian ditajamahan kadalam bahaso baland",catatan hariannyo di maso revolusi tu revolusi mahasiswa kudian ditajamahan kadalam bahaso baland,negative
"luzi lulus sma pado tahun 1983, namun baliau indak malanjuikkan ka paguruan tinggi disababkan karano",luzi lulus sma pado tahun namun baliau indak malanjuikkan ka paguruan tinggi disababkan karano,negative
"ade sempat dirawat di rumah sakit mitra keluarga, surabaya dek stroke",ade sempat dirawat di rumah sakit mitra keluarga surabaya dek stroke,neutral
lauik mediterania di selatan mamisahan eropa dari afrika,lauik mediterania di selatan mamisahan eropa dari afrika,neutral
"kubah ko dibangun untuak mangana nabi umaik islam, muhammad saw",kubah ko dibangun untuak mangana nabi umaik islam muhammad saw,negative
inyo manamatan sd jo smp di kampuang halamannyo,inyo manamatan sd jo smp di kampuang halamannyo,neutral
"air dingin (bahaso minangkabau: ""aia dingin"") adolah sabauh nagari di kecamatan lembah gumanti, kabu",air dingin bahaso minangkabau aia dingin adolah sabauh nagari di kecamatan lembah gumanti kabu,neutral
dan pado daerah ikolah ka-4 ujuang jalan ko samo-samo batamu,dan pado daerah ikolah ka ujuang jalan ko samo samo batamu,neutral
"asam di dalam aia akan maambek produksi enzim dari larva ikan ""trout"" untuak kalua dari taluanyo",asam di dalam aia akan maambek produksi enzim dari larva ikan trout untuak kalua dari taluanyo,neutral
"pado 1980, dilakuan renovasi patamo kali jo melebaan ruang sumbayang manjadi 8 x 12 meter",pado dilakuan renovasi patamo kali jo melebaan ruang sumbayang manjadi x meter,neutral
"sman 3 pekanbaru nan dahulu namonyo sma negeri rumbai baalamaik di jl.yos sudarso no.100a rumbai,pek",sman pekanbaru nan dahulu namonyo sma negeri rumbai baalamaik di jl yos sudarso no 100a rumbai pek,neutral
"pado taun 2014, unand manjadi universitas patamo di sumatra nan mandapekan paringek a untuak akredit",pado taun unand manjadi universitas patamo di sumatra nan mandapekan paringek untuak akredit,negative
brachyrhopala ruficornis adolah saikua langau dari famili asilidae,brachyrhopala ruficornis adolah saikua langau dari famili asilidae,neutral
"""pedoman isteri"" mambahas parsoalan padusi sacaro umum", pedoman isteri mambahas parsoalan padusi sacaro umum,neutral
karajaan ko kamudian ditaruihan dek karajaan ayutthaya nan didirian pado pertengahan abaik ka-14 dan,karajaan ko kamudian ditaruihan dek karajaan ayutthaya nan didirian pado pertengahan abaik ka dan,neutral
2001 ke77 adolah sabuah objek transneptunus, ke77 adolah sabuah objek transneptunus,neutral
"selain tu, lulusan politeknik pun dituntuik untuak dapek bakarajo jo katapekan, yakni tapek ukuran, ",selain tu lulusan politeknik pun dituntuik untuak dapek bakarajo jo katapekan yakni tapek ukuran ,neutral
"sairiang jo pancalonannyo, liau maninggaan jabatan kapartaian",sairiang jo pancalonannyo liau maninggaan jabatan kapartaian,negative
"bulan 1 april 2005, naik talibat dalam debat jo william campbell, topiknya iolah islam jo kristen da",bulan april naik talibat dalam debat jo william campbell topiknya iolah islam jo kristen da,neutral
namo ilmiah spesies ko partamo kali ditabik'an pado taun 1949 dek chamberlin,namo ilmiah spesies ko partamo kali ditabik an pado taun dek chamberlin,neutral
"kamudian, belgrave mambuek sistem pandidikan modern sabagai bagian pandidikan di bahrain",kamudian belgrave mambuek sistem pandidikan modern sabagai bagian pandidikan di bahrain,neutral
mansa musa konon alah manaklukkan 24 kota,mansa musa konon alah manaklukkan kota,neutral
"manuruik ryn, kota tasabuik barado di australia",manuruik ryn kota tasabuik barado di australia,neutral
"dalam malaksanakan kagiatannyo, hpi bakarajo samo pulo jo babarapo limbago takaik, sarupo pusat pene",dalam malaksanakan kagiatannyo hpi bakarajo samo pulo jo babarapo limbago takaik sarupo pusat pene,neutral
ani idrus  ad0lah surang wartawati senior nan mandirian harian waspada basamo jo lakinyo h,ani idrus ad0lah surang wartawati senior nan mandirian harian waspada basamo jo lakinyo,neutral
fyord ditamukan di sapanjang pasisia:  fyord tapanjang di dunia adolah:  taluak panjang manyarupoi-f,fyord ditamukan di sapanjang pasisia fyord tapanjang di dunia adolah taluak panjang manyarupoi,neutral
bupati kini adolah jr saragih nan sadang manjabaik untuak periode kaduo 2016-2021 sasudah tapiliah b,bupati kini adolah jr saragih nan sadang manjabaik untuak periode kaduo sasudah tapiliah,neutral
"indak bagitu lamo kalua dari panjaro , inyo pun mahambuihan nafas tarakhirnyo pado tahun 1977 dalam ",indak bagitu lamo kalua dari panjaro inyo pun mahambuihan nafas tarakhirnyo pado tahun dalam ,negative
nasrul koto  adolah salah surang pamain sepak bola indonesia pado era 80-an sampai jo 90-an,nasrul koto adolah salah surang pamain sepak bola indonesia pado era an sampai jo an,negative
spesies ko juo marupokan bagian dari genus eskovia dan ordo araneae,spesies ko juo marupokan bagian dari genus eskovia dan ordo araneae,neutral
"baliau indak sagan-sagan mangkritik sabuah kakaliruan, walaupun nan dikritik tu adolah kawannyo sand",baliau indak sagan sagan mangkritik sabuah kakaliruan walaupun nan dikritik tu adolah kawannyo sand,negative
ezeldijk jeroel voskuil,ezeldijk jeroel voskuil,neutral
gadis tatarik ateh pamikiran itu dan ikuik aktif mambantuak kalompok diskusi lingkaran studi filsafa,gadis tatarik ateh pamikiran itu dan ikuik aktif mambantuak kalompok diskusi lingkaran studi filsafa,neutral
urang korea baru mangana lado berkat jaso padagang portugis dari jepang nan datang ka korea pado aba,urang korea baru mangana lado berkat jaso padagang portugis dari jepang nan datang ka korea pado aba,positive
biliak bafungsi sabagai tampek panyimpanan barang-barang privasi rumah gadang ko,biliak bafungsi sabagai tampek panyimpanan barang barang privasi rumah gadang ko,negative
"sabalunnyo, inyo manjabat pardano mantari turki sajak 14 maret 2003 sampai 28 agustus 2014",sabalunnyo inyo manjabat pardano mantari turki sajak maret sampai agustus ,neutral
"lawah iko biasonyo banyak ditamui di amerika sarikat, kanada, alaska",lawah iko biasonyo banyak ditamui di amerika sarikat kanada alaska,negative
"pado ajang anugerah musik indonesia 2009, afgan dapek maraiah panghargaan sabagai panyanyi pria solo",pado ajang anugerah musik indonesia afgan dapek maraiah panghargaan sabagai panyanyi pria solo,neutral
batino burgo mampu mahasilkan 30 butir telur baukuran ketek dalam tempo 60 hari,batino burgo mampu mahasilkan butir telur baukuran ketek dalam tempo hari,neutral
"""shivanolipatha malai"" jo ""shiva padam"" adolah duo namo dalam bahaso tamil nan punyo arti sarupo, ta", shivanolipatha malai jo shiva padam adolah duo namo dalam bahaso tamil nan punyo arti sarupo ta,neutral
"dalam maso kolonial balando, pribumi dipakai sabagai istilah bahaso malayu untuak ""inlanders"", salah",dalam maso kolonial balando pribumi dipakai sabagai istilah bahaso malayu untuak inlanders salah,negative
dan kini sikolah tasabuik manggunokan kurikulum 2013 atau k-13,dan kini sikolah tasabuik manggunokan kurikulum atau ,neutral
"pado november 2005, roni mambuek blog roniyuzirman.com untuak mancaritoan pajalanan bisnisnyo dari k",pado november roni mambuek blog roniyuzirman com untuak mancaritoan pajalanan bisnisnyo dari,neutral
pernikahan pertamanya denga johannes andi irwanto taun 1984 kudian mareka bercerai sacaro rasmi taun,pernikahan pertamanya denga johannes andi irwanto taun kudian mareka bercerai sacaro rasmi taun,neutral
"batu lawan dilatak an di ateh garih ""finish"" lalu inyo manggenggong dan mahantam batu lawan tadi jo ",batu lawan dilatak an di ateh garih finish lalu inyo manggenggong dan mahantam batu lawan tadi jo ,negative
inyo saaruihnyo alah dapek kalua dari rumah sakik pado 22 januari 2012,inyo saaruihnyo alah dapek kalua dari rumah sakik pado januari ,negative
oyong liza  adolah surang pamain bola indonesia,oyong liza adolah surang pamain bola indonesia,neutral
ado babarapo polimer alami nan tamasuak asoy,ado babarapo polimer alami nan tamasuak asoy,positive
"badasakan katarangan narasumber, pamakanan lamo paragede alek (""pragedel alek"") marupokan palangkok ",badasakan katarangan narasumber pamakanan lamo paragede alek pragedel alek marupokan palangkok ,negative
babagai fasilitas dimiliki sman 2 payakumbuh untuak manunjang kagiatan baraja maaja,babagai fasilitas dimiliki sman payakumbuh untuak manunjang kagiatan baraja maaja,neutral
"sakolah iko dikhususan untuak nan alah manamaikan pandidikannyo di sumatra thawalib, diniyah, jo tar",sakolah iko dikhususan untuak nan alah manamaikan pandidikannyo di sumatra thawalib diniyah jo tar,positive
agustus  adolah bulan kalapan dalam taun kalender gregorian,agustus adolah bulan kalapan dalam taun kalender gregorian,neutral
"untuak fungsi-fungsi perangkek kareh sarupo sabagai masuakan jo kaluaran jo alokasi memori, sistem o",untuak fungsi fungsi perangkek kareh sarupo sabagai masuakan jo kaluaran jo alokasi memori sistem,neutral
"pado lahan nan miriangnyo tinggi, sawah dibantuak bateras atau disabuik tera sering atau sengkedan u",pado lahan nan miriangnyo tinggi sawah dibantuak bateras atau disabuik tera sering atau sengkedan you,negative
"pado bulan juli 1946, ismail lengah diangkek manjadi kapalo seksi pasanjatoan markas umum komandemen",pado bulan juli ismail lengah diangkek manjadi kapalo seksi pasanjatoan markas umum komandemen,neutral
"abdul aziz ishak mamulai pendidikannyo di maktab melayu kuala kangsar,negeri perak",abdul aziz ishak mamulai pendidikannyo di maktab melayu kuala kangsar negeri perak,neutral
namo ilmiah dari spesies ko partamo kali ditabik'an pado taun 1911 dek emerton,namo ilmiah dari spesies ko partamo kali ditabik an pado taun dek emerton,neutral
banyak nan nio supayo para pamaluak agamo hindu jo islam mampunyoi nagara surang,banyak nan nio supayo para pamaluak agamo hindu jo islam mampunyoi nagara surang,positive
"surau tarok talatak di jalan tui, kuranji, kota padang, sumatra barat, indonesia",surau tarok talatak di jalan tui kuranji kota padang sumatra barat indonesia,neutral
bangunannyo samulo tabuek dari kayu jo atok babahan ijuak,bangunannyo samulo tabuek dari kayu jo atok babahan ijuak,neutral
"anatolia (yunani: ??????? ""anatol?"" atau asia kaciak, ""tabiknyo matoari"" atau ""timur""; pabandiangan ",anatolia yunani anatol atau asia kaciak tabiknyo matoari atau timur pabandiangan ,neutral
"hendri septa marupakan putra dari politisi sumatra barat, muhammad asli chaidir",hendri septa marupakan putra dari politisi sumatra barat muhammad asli chaidir,neutral
"kato ""songket"" barasa dari istilah ""sungkit"" dalam bahaso melayu jo bahaso indonesia, nan bararti ""m",kato songket barasa dari istilah sungkit dalam bahaso melayu jo bahaso indonesia nan bararti m,neutral
"di kota iko tadapek lapangan pacuan kudo milik pamarintah satampek nan banamo ""lapangan pacuan kuda ",di kota iko tadapek lapangan pacuan kudo milik pamarintah satampek nan banamo lapangan pacuan kuda ,neutral
"djanamar adjam (lair di bukittinggi, sumatera barat, taun 1921) adolah surang panggiat pamuda islam ",djanamar adjam lair di bukittinggi sumatera barat taun adolah surang panggiat pamuda islam ,neutral
tsunami menarajang kapulauan mentawai mabyusua gampo bumi nan bapusek di lapeh pantai sumatera barat,tsunami menarajang kapulauan mentawai mabyusua gampo bumi nan bapusek di lapeh pantai sumatera barat,neutral
"tony prabowo adolah musisi bakabangsaan indonesia nan lahia di kota malang, jawa timur tahun 1956",tony prabowo adolah musisi bakabangsaan indonesia nan lahia di kota malang jawa timur tahun ,neutral
"batanghari leko adolah marupoan sabuah kecamatan nan ado di kabupaten musi banyuasin, provinsi sumat",batanghari leko adolah marupoan sabuah kecamatan nan ado di kabupaten musi banyuasin provinsi sumat,neutral
"sma negeri 9 memiliki banyak kegiatan ekstrakurikuler, di antaronyo,",sma negeri memiliki banyak kegiatan ekstrakurikuler di antaronyo ,neutral
"umumnyo, pambarian namo surah disasuaikan jo tema nan dibicarokan surah tasabuik atau jo namo nan al",umumnyo pambarian namo surah disasuaikan jo tema nan dibicarokan surah tasabuik atau jo namo nan al,neutral
rumah gadang 13 ruang suku dalimo iyolah rumah adaik tradisional minangkabau punyo masyarakaik suku ,rumah gadang ruang suku dalimo iyolah rumah adaik tradisional minangkabau punyo masyarakaik suku ,neutral
bill amirsjah-rondahaim saragih garingging  adolah salah saurang maestro musik jazz indonesia,bill amirsjah rondahaim saragih garingging adolah salah saurang maestro musik jazz indonesia,neutral
"konferensi tatap bajalan, satalah dewan cardiff mangatoan baso mareka sanang apobilo inyo indak baca",konferensi tatap bajalan satalah dewan cardiff mangatoan baso mareka sanang apobilo inyo indak baca,neutral
"basamo jo mohammad husni thamrin, jo amir sjarifoeddin, tjokrosoejoso mambantuak gabungan politik in",basamo jo mohammad husni thamrin jo amir sjarifoeddin tjokrosoejoso mambantuak gabungan politik in,neutral
"namun sumangaik nan dibaoan tuanku tambusai nan baru pulang dari makkah, manyumangaik-inyo untuak ta",namun sumangaik nan dibaoan tuanku tambusai nan baru pulang dari makkah manyumangaik inyo untuak ta,negative
kawasan iko disampaikan pado september 1996 dek pamarintah nagari untuak mananamkan kasadaran tahado,kawasan iko disampaikan pado september dek pamarintah nagari untuak mananamkan kasadaran tahado,neutral
"touré acok didorong ka muko adao bagian akhia dari patandingan, tautamo di patandingan kaduo tarakhi",toure acok didorong ka muko adao bagian akhia dari patandingan tautamo di patandingan kaduo tarakhi,neutral
surabaya bhayangkara samator adolah salah satu klub voli putra profesional nan bamarkas di kota sura,surabaya bhayangkara samator adolah salah satu klub voli putra profesional nan bamarkas di kota sura,neutral
"karano giat di organisasi lukman ditunjuak manjadi anggota dpr-gr, nan banyak manyuaroan kapantianga",karano giat di organisasi lukman ditunjuak manjadi anggota dpr gr nan banyak manyuaroan kapantianga,neutral
minaik awa darwin di alam mambueknyo maabaikan pandidikan kadokteran di universitas edinburgh; sabal,minaik awa darwin di alam mambueknyo maabaikan pandidikan kadokteran di universitas edinburgh sabal,neutral
mekanisme telekomunikasi nirkabel mamungkinkan komunikasi jarak jauah jo lokasi nan indak mungkin at,mekanisme telekomunikasi nirkabel mamungkinkan komunikasi jarak jauah jo lokasi nan indak mungkin at,neutral
"satalah barakhianyo maso tugas, baliau mulai bakonsentrasi mauruih pondok pesantrennyo",satalah barakhianyo maso tugas baliau mulai bakonsentrasi mauruih pondok pesantrennyo,positive
wali kota atau walikota marujuak kapado surang politikus nan batindak sabagai pamimpin sabuah kota,wali kota atau walikota marujuak kapado surang politikus nan batindak sabagai pamimpin sabuah kota,neutral
"kaampek spesies endemik tasabuik adolah siamang mentawai (bilou, ""hylobates klossii""), lutung (joja,",kaampek spesies endemik tasabuik adolah siamang mentawai bilou hylobates klossii lutung joja ,neutral
presiden georgia (georgia: ??????????? ??????????) adolah kapalo nagara jo komandan tatinggi di geor,presiden georgia georgia adolah kapalo nagara jo komandan tatinggi di geor,neutral
"panalitian hidrologi punyo kagunoan labiah lanjuik untuak teknik lingkungan, kabijakan lingkungan, s",panalitian hidrologi punyo kagunoan labiah lanjuik untuak teknik lingkungan kabijakan lingkungan s,neutral
"pado taun 1942, baliau dimasuak-an ka sakola rakyat di sumpur kudus",pado taun baliau dimasuak an ka sakola rakyat di sumpur kudus,negative
baliau kamudian manjadi negarawan ulung nan bafokus pado aktivitas amal demi mambarantas kamiskinan ,baliau kamudian manjadi negarawan ulung nan bafokus pado aktivitas amal demi mambarantas kamiskinan ,positive
"chairil anwar partamo kali marasoan pandidikan di ""hollandsch-inlandsche school"" (his), sekolah dasa",chairil anwar partamo kali marasoan pandidikan di hollandsch inlandsche school his sekolah dasa,neutral
rekayasa perangkek luneik pado prinsipnyo manekankan pado tahapan-tahapan pangembangan suatu perangk,rekayasa perangkek luneik pado prinsipnyo manekankan pado tahapan tahapan pangembangan suatu perangk,neutral
"junisaf pernah manjadi pamimpin redaksi antara, sadangkan yozar dikana sabagai pimpinan eksponen 196",junisaf pernah manjadi pamimpin redaksi antara sadangkan yozar dikana sabagai pimpinan eksponen ,neutral
upita agustine lahia dari pasangan muhammad thaib datuak pangulu basa jo puti reno disma nan dipatua,upita agustine lahia dari pasangan muhammad thaib datuak pangulu basa jo puti reno disma nan dipatua,neutral
"padang cermin adolah marupoan sabuah kecamatan nan ado di kabupaten pesawaran, provinsi lampung, ind",padang cermin adolah marupoan sabuah kecamatan nan ado di kabupaten pesawaran provinsi lampung ind,neutral
"tapi indak lamo kudian, pado tanggal 27 november 2001 itji maningga dunia, lalu dimakaman di tpu pon",tapi indak lamo kudian pado tanggal november itji maningga dunia lalu dimakaman di tpu pon,negative
60001 adélka (1999 tg5) adolah sabuah asteroid nan talatak di sabuak utamo, adelka tg5 adolah sabuah asteroid nan talatak di sabuak utamo,neutral
adolah surang seniman indonesia nan baprofesi sabagai palukih,adolah surang seniman indonesia nan baprofesi sabagai palukih,neutral
"katiko mampartimbangkan komputer modern, sifek nan paliang mambedoan inyo dari pangkakeh panghituang",katiko mampartimbangkan komputer modern sifek nan paliang mambedoan inyo dari pangkakeh panghituang,neutral
"pado taun 1928, agg bisa manyewa sabuah rumah di fort de kock untuak kantuanyo",pado taun agg bisa manyewa sabuah rumah di fort de kock untuak kantuanyo,neutral
"yusuf, rommel abdillah dan natasha quratul'ain)",yusuf rommel abdillah dan natasha quratul ain ,neutral
"salain mangumpuakan literatur tantang minangkabau jo sumatra barat, taun 1987 anas nafis manggageh b",salain mangumpuakan literatur tantang minangkabau jo sumatra barat taun anas nafis manggageh,neutral
"pataruangan tagadangnyo jo conor mcgregor di ufc 229 manarik 2,4 juta bayar-pa-tayang , yang paliang",pataruangan tagadangnyo jo conor mcgregor di ufc manarik juta bayar pa tayang yang paliang,negative
